,percentage_occupied,a_symmetry,b_symmetry,c_symmetry,contour_perimeter,total_contour_perimeter,iou_circle,View
163,65.03135211516383,1.0,0.0,-84.0,1349.0,1535.0,0.7786582783860625,3.0
164,80.31282051282051,0.0,1.0,-62.0,1084.0,2660.0,0.891279034136177,1.0
165,64.0,1.0,0.0,-5.0,25.0,12.0,0.4594594594594595,1.0
166,72.17813765182186,1.0,0.0,-32.0,892.0,774.0,0.6501469970600589,1.0
167,64.6740307559021,1.0,0.0,-86.0,1328.0,1717.0,0.7715424898833612,3.0
168,66.94534034968596,1.2573529411764706,1.0,-173.5,1737.0,2744.0,0.6167499265354099,3.0
169,67.90303738317756,0.0,1.0,-54.0,840.0,1368.0,0.7794306232367274,2.0
170,46.583564173591874,0.6607142857142857,1.0,-39.5,590.0,338.0,0.5376266280752533,3.0
171,69.00820698289053,0.0,1.0,-40.0,937.0,1328.0,0.8174273858921162,1.0
172,66.72839506172839,0.0,1.0,-27.0,224.0,335.0,0.6390858944050434,2.0
173,49.03497682258744,1.0,0.0,-56.0,1022.0,744.0,0.5436718133663925,1.0
174,66.8971699321296,0.0,1.0,-68.0,1061.0,2350.0,0.8037432219695645,3.0
175,55.92552810597924,1.0,0.0,-24.0,483.0,521.0,0.5397755002440214,2.0
177,79.7463429816371,0.0,1.0,-54.0,1032.0,2282.0,0.8762640717420339,2.0
178,66.35669673837613,1.0,0.0,-82.0,1229.0,1750.0,0.7777777777777778,3.0
179,76.86766824449475,1.0,0.0,-64.0,1122.0,1722.0,0.819878827574914,2.0
180,38.36317135549872,1.0,0.0,-17.0,222.0,207.0,0.6817593790426908,2.0
181,67.73349436392915,1.0,0.0,-54.0,832.0,1323.0,0.7904637491835401,2.0
182,73.10091334372912,1.0,0.0,-67.0,1190.0,2220.0,0.8067033656191206,1.0
183,15.024038461538462,0.8064516129032258,1.0,-27.5,140.0,54.0,0.12450592885375494,3.0
184,78.17287534268667,0.0,1.0,-53.0,1057.0,2106.0,0.8721318103709693,2.0
185,69.10647405029428,1.0,0.0,-44.0,873.0,1666.0,0.8405440601938938,3.0
186,73.81790744466801,1.0,0.0,-36.0,559.0,622.0,0.8045830681094844,2.0
187,82.0596573400715,0.0,1.0,-61.0,1050.0,2689.0,0.8415886099662795,2.0
188,57.70466118292206,1.0,0.0,-58.0,1407.0,932.0,0.54638671875,1.0
189,73.64752086401572,0.0,1.0,-48.0,966.0,1560.0,0.8540089801154587,2.0
190,75.39545585274662,1.0,0.0,-61.0,1193.0,1331.0,0.8162593170393483,2.0
191,67.45853397538791,0.0,1.0,-52.0,767.0,1143.0,0.8039660056657224,2.0
192,70.67745197168858,1.0,0.0,-34.0,502.0,633.0,0.752041254834551,2.0
193,77.04255123609963,0.0,1.0,-46.0,1087.0,1990.0,0.8650017263206353,1.0
194,74.67427902210511,0.0,1.0,-50.0,597.0,1069.0,0.8290098648154914,2.0
195,75.40322580645162,1.0,0.0,-62.0,1215.0,1674.0,0.8009878225325726,2.0
196,66.47767540751241,1.2222222222222223,1.0,-167.5,1509.0,2206.0,0.698413674372848,3.0
197,65.3348749571771,1.210144927536232,1.0,-169.5,1773.0,2755.0,0.6637472819521624,3.0
